scats_number,nb_detector,direction,all_directions,is_multi_direction
970,1,E,E,FALSE
970,2,W,W,FALSE
970,3,S,S,FALSE
970,4,N,N,FALSE
970,5,E,E,FALSE
970,6,S,S/W,TRUE
970,7,E,E/S,TRUE
970,8,N,N,FALSE
2000,1,W,W,FALSE
2000,2,E,E,FALSE
2000,3,N,N,FALSE
2000,4,S,S,FALSE
2000,5,N,N,FALSE
2000,6,E,E,FALSE
2000,7,W,W,FALSE
2000,8,N,N,FALSE
2000,13,W,W,FALSE
2000,14,E,E,FALSE
2000,15,S,S,FALSE
2200,1,W,W,FALSE
2200,2,E,E,FALSE
2200,3,N,N,FALSE
2200,4,S,S,FALSE
2200,5,W,W,FALSE
2200,6,E,E,FALSE
2200,7,N,N,FALSE
2200,8,W,W,FALSE
2200,9,N,N,FALSE
2200,10,E,E/W,TRUE
2820,1,W,W,FALSE
2820,2,W,W,FALSE
2820,3,E,E,FALSE
2820,4,E,E,FALSE
2820,5,NW,NW,FALSE
2820,6,NW,NW,FALSE
2825,1,N,N,FALSE
2825,2,N,N,FALSE
2825,3,S,S,FALSE
2825,4,S,S,FALSE
2825,5,E,E,FALSE
2825,6,NW,NW,FALSE
2827,1,N,N,FALSE
2827,2,N,N,FALSE
2827,3,S,S,FALSE
2827,4,S,S,FALSE
2827,5,W,W,FALSE
2827,6,W,W,FALSE
2827,7,W,W,FALSE
2827,8,E,E,FALSE
2827,9,E,E,FALSE
2827,10,E,E,FALSE
2827,11,N,N,FALSE
2827,12,S,S,FALSE
2827,13,SW,SW,FALSE
2827,14,S,S,FALSE
2827,15,W,W,FALSE
2846,1,W,W,FALSE
2846,2,W,W,FALSE
2846,3,W,W,FALSE
2846,4,E,E,FALSE
2846,5,E,E,FALSE
2846,6,E,E,FALSE
2846,7,N,N/SE,TRUE
2846,8,N,N,FALSE
2846,9,S,S,FALSE
2846,10,S,S,FALSE
2846,11,W,W,FALSE
2846,12,W,W,FALSE
2846,13,S,S,FALSE
2846,16,S,S,FALSE
3001,1,W,W,FALSE
3001,2,E,E,FALSE
3001,3,N,N,FALSE
3001,4,S,S,FALSE
3001,5,N,N/W,TRUE
3001,6,S,S,FALSE
3001,7,E,E,FALSE
3001,8,S,S,FALSE
3002,1,W,W,FALSE
3002,2,E,E,FALSE
3002,3,N,N,FALSE
3002,4,S,S,FALSE
3002,5,W,W,FALSE
3002,6,E,E,FALSE
3002,7,N,N,FALSE
3002,8,S,S,FALSE
3002,10,N,N,FALSE
3002,11,S,S,FALSE
3120,1,N,N,FALSE
3120,2,S,S,FALSE
3120,3,W,W,FALSE
3120,4,E,E,FALSE
3120,5,N,N,FALSE
3120,7,W,W,FALSE
3120,9,S,S,FALSE
3120,10,W,W,FALSE
3120,11,S,S/N,TRUE
3122,1,W,W,FALSE
3122,2,E,E,FALSE
3122,3,N,N,FALSE
3122,4,N,N/E,TRUE
3122,5,W,W,FALSE
3126,1,W,W,FALSE
3126,2,E,E,FALSE
3126,3,N,N,FALSE
3126,4,N,N/E,TRUE
3126,5,W,W,FALSE
3127,1,W,W,FALSE
3127,2,E,E,FALSE
3127,3,S,S,FALSE
3127,4,S,S/W,TRUE
3127,5,E,E,FALSE
3180,1,W,W,FALSE
3180,2,E,E,FALSE
3180,3,N,N/W,TRUE
3180,4,S,S,FALSE
3180,6,E,E,FALSE
3180,7,N,N,FALSE
3662,1,SW,SW,FALSE
3662,2,E,E,FALSE
3662,3,N,N,FALSE
3662,4,S,S,FALSE
3662,5,SW,SW,FALSE
