site_number,scats_number,location_description
964,964,ABBOTTS/CLELANDS DEVELOPMENTS
968,968,ABBOTTS/GAINE/MONASH
972,972,ABBOTTS/NATIONAL
983,983,ABBOTTS/REMINGTON
1053,1053,ABBOTTSFORD/HAINES
5300,5300,ABERDEEN/PAKINGTON
5302,5302,ABERDEEN/SHANNON
4975,4975,AIRPORT DR/CENTRE RD
1154,1154,AITKEN/GRAND
768,768,ALBERT NR BAMBURY
4440,4440,ALBERT NR EADES
4234,4234,ALBERT/BUCKLEY
4911,4911,ALBERT/CECIL/OLD AUGHTIE
4912,4912,ALBERT/CLARENDON
4447,4447,ALBERT/CLARENDON
3265,3265,ALBERT/DUNDAS/STATION
4445,4445,ALBERT/GISBORNE
3263,3263,ALBERT/GOWER
4243,4243,ALBERT/IRVING
4733,4733,ALBERT/LAKESIDE DRV
4446,4446,ALBERT/LANSDOWNE
4913,4913,ALBERT/MORAY
2294,2294,ALBERT/MSAC ACCESS ROAD EXIT
3262,3262,ALBERT/MURRAY
4444,4444,ALBERT/NICHOLSON/LONSDALE
4448,4448,ALBERT/POWLETT
3264,3264,ALBERT/RAGLAN
4449,4449,ALBERT/SIMPSON
3260,3260,ALBERT/TYLER
3261,3261,ALBERT/WOOD
3785,3785,ALBION NR HOWARD
3787,3787,ALBION NR THISTLE
4552,4552,ALEXANDRA/ANDERSON
4549,4549,ALEXANDRA/LINLITHGOW
4550,4550,ALEXANDRA/SWAN BRIDGE                 VM6
4739,4739,ALEXANDRA/WILLIAMS NTH
2678,2678,ALFRIEDA NR MAIN EAST
6322,6322,ALLAN NR ALBION
6323,6323,ALLAN NR LAKE
4846,4846,ALMA/WESTBURY
2186,2186,AMAROO/CRAIGIEBURN BYPASS NB EXIT R
2799,2799,AMIS BTN VISTA & BUCKLEY
5045,5045,ANAKIE (BELL POST SC)
5110,5110,ANAKIE NR BARTON
5127,5127,ANAKIE NR KINLOCK
5099,5099,ANAKIE/SEPARATION
4555,4555,ANDERSON NR ACLAND
